disp_avg,t_cent
1.2079230490555504e-09,2020-02-23 01:30:00
1.0302096809653253e-09,2020-02-23 04:30:00
7.125167993628463e-10,2020-02-23 07:30:00
7.096513397672896e-10,2020-02-23 10:30:00
1.0884167070428995e-09,2020-02-23 13:30:00
1.2808401507063162e-09,2020-02-23 16:30:00
1.322540615508625e-09,2020-02-23 19:30:00
1.3059102738038846e-09,2020-02-23 22:30:00
1.174687848896708e-09,2020-02-24 01:30:00
9.75355951680966e-10,2020-02-24 04:30:00
7.700678504349841e-10,2020-02-24 07:30:00
1.1748618609664756e-09,2020-02-24 10:30:00
1.9037710846938097e-09,2020-02-24 13:30:00
1.6811268385866585e-09,2020-02-24 16:30:00
1.6209598296571734e-09,2020-02-24 19:30:00
1.6394816707966787e-09,2020-02-24 22:30:00
1.3751400234773444e-09,2020-02-25 01:30:00
1.0877424476864982e-09,2020-02-25 04:30:00
8.60590305883071e-10,2020-02-25 07:30:00
1.2570932121515442e-09,2020-02-25 10:30:00
1.9139945932983545e-09,2020-02-25 13:30:00
1.66227605000259e-09,2020-02-25 16:30:00
1.606900491483545e-09,2020-02-25 19:30:00
1.4909223912539232e-09,2020-02-25 22:30:00
1.3215385132503747e-09,2020-02-26 01:30:00
1.063854172891015e-09,2020-02-26 04:30:00
7.892875783558525e-10,2020-02-26 07:30:00
1.171705787699868e-09,2020-02-26 10:30:00
1.94050098364603e-09,2020-02-26 13:30:00
1.6401702183217712e-09,2020-02-26 16:30:00
1.5852022298322811e-09,2020-02-26 19:30:00
1.5944749020908608e-09,2020-02-26 22:30:00
1.3517881314473652e-09,2020-02-27 01:30:00
1.0531120885615022e-09,2020-02-27 04:30:00
7.815917039785403e-10,2020-02-27 07:30:00
1.1619646427648328e-09,2020-02-27 10:30:00
1.8836706340115444e-09,2020-02-27 13:30:00
1.6422442470884053e-09,2020-02-27 16:30:00
1.590243133859489e-09,2020-02-27 19:30:00
1.5888062041906974e-09,2020-02-27 22:30:00
1.3561949698687464e-09,2020-02-28 01:30:00
1.0964277359836166e-09,2020-02-28 04:30:00
8.414994182827491e-10,2020-02-28 07:30:00
1.1964587219506138e-09,2020-02-28 10:30:00
1.751712087827247e-09,2020-02-28 13:30:00
1.6335525840697625e-09,2020-02-28 16:30:00
1.6397218714140728e-09,2020-02-28 19:30:00
1.5721562197527915e-09,2020-02-28 22:30:00
1.3595744782927797e-09,2020-02-29 01:30:00
1.1090323759219352e-09,2020-02-29 04:30:00
8.121632262942616e-10,2020-02-29 07:30:00
9.17636415857783e-10,2020-02-29 10:30:00
1.327578400532707e-09,2020-02-29 13:30:00
1.4267077645544683e-09,2020-02-29 16:30:00
1.3798978607423749e-09,2020-02-29 19:30:00
1.3106067785995468e-09,2020-02-29 22:30:00
1.1925919851818176e-09,2020-03-01 01:30:00
1.0333110562441928e-09,2020-03-01 04:30:00
6.958544240348235e-10,2020-03-01 07:30:00
7.103641888418802e-10,2020-03-01 10:30:00
1.0471697662797573e-09,2020-03-01 13:30:00
1.2556879527250247e-09,2020-03-01 16:30:00
1.3061005639887318e-09,2020-03-01 19:30:00
1.3083670214645936e-09,2020-03-01 22:30:00
1.1787230308270403e-09,2020-03-02 01:30:00
9.661532277891672e-10,2020-03-02 04:30:00
7.822653474153234e-10,2020-03-02 07:30:00
1.1681692620620433e-09,2020-03-02 10:30:00
1.9600807946391897e-09,2020-03-02 13:30:00
1.718285151599525e-09,2020-03-02 16:30:00
1.7041716311632088e-09,2020-03-02 19:30:00
1.6491900683451423e-09,2020-03-02 22:30:00
1.3890791804100527e-09,2020-03-03 01:30:00
1.0919285884584233e-09,2020-03-03 04:30:00
8.435029740683677e-10,2020-03-03 07:30:00
1.2303850280317886e-09,2020-03-03 10:30:00
1.932988336988784e-09,2020-03-03 13:30:00
1.7080235086058036e-09,2020-03-03 16:30:00
1.6354737845105785e-09,2020-03-03 19:30:00
1.5792257763755003e-09,2020-03-03 22:30:00
1.3888879311717899e-09,2020-03-04 01:30:00
1.1094919735279178e-09,2020-03-04 04:30:00
8.637409214794708e-10,2020-03-04 07:30:00
1.202328859558163e-09,2020-03-04 10:30:00
1.903987475723115e-09,2020-03-04 13:30:00
1.763083499122692e-09,2020-03-04 16:30:00
1.6817055788187476e-09,2020-03-04 19:30:00
1.6407818894629384e-09,2020-03-04 22:30:00
1.400425707194098e-09,2020-03-05 01:30:00
1.1218122926145719e-09,2020-03-05 04:30:00
8.199832223646686e-10,2020-03-05 07:30:00
1.203908979409605e-09,2020-03-05 10:30:00
1.9213981735340786e-09,2020-03-05 13:30:00
1.7532989726898477e-09,2020-03-05 16:30:00
1.703949824376332e-09,2020-03-05 19:30:00
1.729541872287547e-09,2020-03-05 22:30:00
1.3964864949398356e-09,2020-03-06 01:30:00
1.107570512676966e-09,2020-03-06 04:30:00
8.556961241913129e-10,2020-03-06 07:30:00
1.200951440657324e-09,2020-03-06 10:30:00
1.994953638602313e-09,2020-03-06 13:30:00
1.6600733521424764e-09,2020-03-06 16:30:00
1.6488675817534216e-09,2020-03-06 19:30:00
1.4801195569797315e-09,2020-03-06 22:30:00
1.3167230845136442e-09,2020-03-07 01:30:00
1.066929913939739e-09,2020-03-07 04:30:00
7.993876346455572e-10,2020-03-07 07:30:00
9.170849233027766e-10,2020-03-07 10:30:00
1.341789790465706e-09,2020-03-07 13:30:00
1.4480524382976258e-09,2020-03-07 16:30:00
1.4025698078674533e-09,2020-03-07 19:30:00
1.3302669109000293e-09,2020-03-07 22:30:00
1.208183095279002e-09,2020-03-08 01:30:00
1.0610579645603688e-09,2020-03-08 04:30:00
7.632105199927462e-10,2020-03-08 07:30:00
8.414888748794926e-10,2020-03-08 10:30:00
1.1554487358688784e-09,2020-03-08 13:30:00
1.2949825790066354e-09,2020-03-08 16:30:00
1.3389916897090796e-09,2020-03-08 19:30:00
1.2969086093620403e-09,2020-03-08 22:30:00
1.1638343721008412e-09,2020-03-09 01:30:00
8.891834400028707e-10,2020-03-09 04:30:00
8.345342517150353e-10,2020-03-09 07:30:00
1.5188589504208694e-09,2020-03-09 10:30:00
1.9548954159107568e-09,2020-03-09 13:30:00
1.6958298311543742e-09,2020-03-09 16:30:00
1.6687408689910933e-09,2020-03-09 19:30:00
1.611000456281872e-09,2020-03-09 22:30:00
1.3019760870366451e-09,2020-03-10 01:30:00
9.786114524582996e-10,2020-03-10 04:30:00
8.33890266161911e-10,2020-03-10 07:30:00
1.5576439036476835e-09,2020-03-10 10:30:00
1.9200611941222035e-09,2020-03-10 13:30:00
1.6779841122003297e-09,2020-03-10 16:30:00
1.6654499455859048e-09,2020-03-10 19:30:00
1.6055325195962312e-09,2020-03-10 22:30:00
1.3034035307472316e-09,2020-03-11 01:30:00
9.814961281653532e-10,2020-03-11 04:30:00
8.604638753663871e-10,2020-03-11 07:30:00
1.5365453057618459e-09,2020-03-11 10:30:00
1.90161733472336e-09,2020-03-11 13:30:00
1.6488816149512725e-09,2020-03-11 16:30:00
1.6502172532968812e-09,2020-03-11 19:30:00
1.5859119353599404e-09,2020-03-11 22:30:00
1.295457148365171e-09,2020-03-12 01:30:00
1.005167861921346e-09,2020-03-12 04:30:00
8.662393888477418e-10,2020-03-12 07:30:00
1.505145409089577e-09,2020-03-12 10:30:00
1.8663454047828175e-09,2020-03-12 13:30:00
1.649774780306975e-09,2020-03-12 16:30:00
1.656692230257257e-09,2020-03-12 19:30:00
1.5470185575696343e-09,2020-03-12 22:30:00
1.2501362478453199e-09,2020-03-13 01:30:00
9.722168389559857e-10,2020-03-13 04:30:00
8.824952638110417e-10,2020-03-13 07:30:00
1.4591584911922872e-09,2020-03-13 10:30:00
1.8015751417216002e-09,2020-03-13 13:30:00
1.683823416500811e-09,2020-03-13 16:30:00
1.6285332049805675e-09,2020-03-13 19:30:00
1.5726659923851453e-09,2020-03-13 22:30:00
1.2469364299041656e-09,2020-03-14 01:30:00
9.508577907633041e-10,2020-03-14 04:30:00
7.513042550994136e-10,2020-03-14 07:30:00
1.032412840194062e-09,2020-03-14 10:30:00
1.361577970858235e-09,2020-03-14 13:30:00
1.3953376263664678e-09,2020-03-14 16:30:00
1.3496656076715253e-09,2020-03-14 19:30:00
1.2572296771505754e-09,2020-03-14 22:30:00
1.1254282657435327e-09,2020-03-15 01:30:00
8.667903508570897e-10,2020-03-15 04:30:00
6.03014324235527e-10,2020-03-15 07:30:00
7.819965468517419e-10,2020-03-15 10:30:00
1.0721613867621172e-09,2020-03-15 13:30:00
1.2280095203663704e-09,2020-03-15 16:30:00
1.2716881099378068e-09,2020-03-15 19:30:00
1.2253654472895687e-09,2020-03-15 22:30:00
1.0776908196755036e-09,2020-03-16 01:30:00
8.453077397784448e-10,2020-03-16 04:30:00
7.994542122112096e-10,2020-03-16 07:30:00
1.439863475011885e-09,2020-03-16 10:30:00
1.7784897694856863e-09,2020-03-16 13:30:00
1.5931928972233855e-09,2020-03-16 16:30:00
1.5678385311043785e-09,2020-03-16 19:30:00
1.520464142523961e-09,2020-03-16 22:30:00
1.154702186966948e-09,2020-03-17 01:30:00
